Day of the week,Time of day,Amenity type,Distance to amenity,User rating of parking,Handicap accessible,Price
2,1152,8,4581,1.7582306858676087,1,13.0
2,885,5,744,4.722956091075323,1,36.0
4,1215,5,3342,2.4518810505602326,0,17.0
5,1574,9,1111,3.7055439601787756,0,29.0
3,1009,5,2846,3.1341922265700966,0,21.0
4,1418,1,3562,3.761504650227053,0,24.0
7,1632,6,593,1.3122150543056397,0,20.0
6,1731,7,3230,1.301825809266564,1,12.0
3,1197,4,783,4.00468501020638,0,32.0
3,1925,6,4317,4.231055232604972,1,25.0
7,1362,9,1434,1.2608526454548294,0,15.0
5,1972,3,1586,2.096649051222512,0,19.0
3,855,5,2229,2.705015967281397,0,20.0
6,1044,5,4374,3.3108630175487845,0,21.0
7,877,1,3143,3.7357466879726777,1,24.0
3,965,5,3392,4.309787362020279,0,27.0
3,864,6,166,3.511484786020113,0,35.0
3,1825,3,4289,1.088523656113162,0,10.0
4,860,4,688,4.726866466490984,0,36.0
2,1555,6,4071,1.0057086266587558,1,9.0
5,1619,3,1867,2.1239101040223196,0,18.0
7,1213,4,3989,4.668908811420912,1,28.0
2,1047,9,4880,4.754015914418288,0,28.0
5,1515,10,379,2.5872841568343574,1,28.0
4,1441,3,1247,4.3854069626796015,0,31.0
4,1297,3,4209,1.5690409606156543,0,12.0
4,1225,4,2411,4.1109127169524875,1,27.0
5,1737,1,3598,1.201671483615018,1,11.0
7,1483,2,4614,2.857872465508814,1,18.0
1,1508,10,2266,2.291608457993185,1,18.0
6,1798,6,3817,4.625921513885569,0,28.0
3,1567,2,573,2.260821372676592,1,25.0
1,1625,8,418,4.890141085778046,0,39.0
5,1300,4,2395,3.0232246895193327,1,22.0
2,997,5,3414,4.513344226586726,0,28.0
1,1652,3,483,1.2337280338584926,1,20.0
6,1921,9,3004,3.3520011778045307,0,22.0
4,1764,1,2825,2.5837977450838805,0,19.0
7,1076,9,3306,2.9820202193509187,0,20.0
7,1084,10,971,3.189948214752687,1,27.0
6,1974,2,3264,3.6419441322311976,0,23.0
3,1224,5,1711,4.881542457406482,1,32.0
7,1723,2,3680,2.287505384842093,0,16.0
3,977,3,795,4.939313268626803,1,36.0
5,1976,3,1675,1.7580490234830877,1,17.0
5,879,4,4356,3.120828771021525,0,20.0
5,1138,7,1402,1.8878338976588953,0,18.0
5,1791,6,4156,1.8325696385898453,1,14.0
4,1377,1,546,2.1552301802190676,1,24.0
3,1384,8,2212,4.308650574485755,1,28.0
5,1188,3,1653,1.8508929818188289,0,17.0
7,926,5,4778,4.853115074833708,1,28.0
5,1210,7,4746,4.19497119204676,1,25.0
6,1865,8,2573,2.243912653182369,0,17.0
1,1204,3,1315,3.0612152625336537,0,24.0
5,976,10,477,4.283512033014706,1,35.0
2,1833,9,2327,2.334357393248533,0,18.0
2,1847,2,2045,2.110746621914996,1,18.0
5,1145,9,3645,2.7507831866761396,1,19.0
6,1836,9,1195,3.9208734454693976,1,29.0
7,1496,9,3736,4.478191227469593,1,27.0
6,1585,4,3923,2.993333697313441,1,20.0
3,1757,9,189,2.991388268435201,1,32.0
7,1876,3,2905,2.3945431467954403,1,18.0
1,1440,10,1028,3.350827385145302,0,27.0
5,1675,2,3412,2.23125398865592,1,16.0
4,929,3,2197,3.628934123869012,0,25.0
4,1567,4,4553,4.696117618681107,1,28.0
2,992,9,3847,4.510888161269445,1,27.0
5,1665,2,109,3.9582171620230264,1,38.0
1,1995,10,4764,1.8831487345272815,0,13.0
3,1549,4,283,3.7830797224171735,1,35.0
6,1786,3,4933,1.0238812297395197,0,9.0
7,1735,3,3810,2.967495635153605,0,19.0
5,1509,5,359,3.7178795898397037,1,34.0
5,1873,8,505,2.3169582207332375,0,25.0
1,1122,8,2517,2.434135561590573,0,18.0
4,1890,5,1793,3.879992952112685,1,27.0
6,1171,2,2474,2.6512419456039646,0,20.0
4,991,4,1550,2.355654569272233,0,20.0
3,1647,4,4930,2.3068186749212347,1,15.0
2,1813,9,4193,2.4417183333136303,1,17.0
3,1985,5,1520,1.0281032265373304,1,14.0
5,1565,10,238,3.0189258226124607,0,32.0
2,1520,8,3700,1.3308091264514093,0,11.0
1,1324,1,323,4.6559461167680745,0,39.0
6,1863,8,2015,2.508507762621232,1,20.0
4,1178,4,1618,4.0264664371207814,0,28.0
4,1821,3,4788,3.221351558733949,0,20.0
7,1652,8,391,1.9306396786729678,0,25.0
3,1161,10,2580,3.7388011383867976,1,25.0
1,1516,4,2818,2.943834903571457,1,20.0
7,1277,2,754,4.9955161638894126,1,37.0
7,1946,4,2910,3.086256538993857,0,21.0
7,1806,4,147,3.9729951024582215,0,38.0
7,1035,2,4519,3.4476698289032766,1,21.0
7,1617,1,3808,3.1964641171833077,1,21.0
5,1631,2,984,1.063279726491229,0,16.0
2,1518,8,1517,3.58451432407894,1,26.0
7,1150,9,2746,4.678575052770122,0,29.0
4,1876,8,4509,1.5409614491457955,1,12.0
3,1920,3,1873,3.5138351191539865,0,25.0
6,841,10,4579,3.3009011137290383,0,21.0
6,1448,3,733,4.587673731775034,0,35.0
2,1762,6,2037,4.184681851100123,1,28.0
7,1424,3,1905,3.0538933886899047,0,23.0
1,1539,10,2153,4.626400233740661,1,30.0
7,1047,5,4468,4.671311100892522,1,28.0
2,1853,1,4657,2.7984460813253467,1,18.0
4,1633,3,3344,2.6929599129695387,1,19.0
6,1725,1,1759,1.8494992235890102,1,17.0
2,1186,9,2659,4.470795738735012,0,28.0
2,1007,10,4938,2.761127245331639,1,18.0
6,1187,6,3781,4.4871395336673014,1,27.0
6,1600,10,2516,1.4070073189740882,0,13.0
5,1682,5,2023,4.9502576795888515,1,32.0
3,1531,6,1921,3.2136526245472137,0,23.0
3,1791,6,4586,4.468914309966145,1,26.0
3,1599,7,3255,3.5573484553465566,0,23.0
5,1806,4,2745,3.151881171928348,1,22.0
2,1445,1,3354,2.236486837095238,0,16.0
4,1488,10,1289,4.87571225151515,1,34.0
1,1310,3,3737,1.2881504760040063,0,11.0
4,1862,10,1993,4.74707058867954,1,31.0
4,1067,8,1454,4.466211067235674,0,31.0
2,1426,9,1490,2.36652370490021,1,20.0
1,1500,10,4097,4.716757282626525,1,28.0
6,1221,9,2907,2.63341775870149,0,19.0
4,1485,2,3947,4.381633025161905,1,26.0
3,1650,7,2183,3.8004960723888876,1,26.0
4,1155,10,1522,2.05149271245374,0,19.0
7,1999,7,1963,4.603627317600749,1,30.0
2,1832,10,4989,4.287049603191587,1,25.0
7,819,7,4753,3.601599243772527,0,22.0
4,1249,3,3587,4.3021878527562745,0,26.0
2,999,10,2517,4.341418142256058,1,28.0
5,1164,9,4198,3.185805595771994,0,20.0
6,952,10,4538,4.200330254154813,1,25.0
3,1620,3,4638,4.968080475057553,1,29.0
2,1751,1,2444,2.603075337785844,0,19.0
3,1214,2,424,4.368925274015477,1,36.0
3,1248,4,542,2.7712044620189427,0,27.0
3,1000,3,4025,3.5778946863790098,0,22.0
3,1580,9,1342,3.6255178735124614,0,27.0
6,1427,1,1688,3.59267264637955,1,26.0
7,1188,3,1475,4.496712825816463,1,31.0
1,1022,7,2529,2.423284188238241,0,18.0
3,879,3,1119,1.212630951643502,0,16.0
6,1676,3,2774,2.5225523372799294,1,18.0
2,1229,10,3241,1.4537945905209466,1,12.0
3,1300,9,3108,2.082652318276918,0,16.0
7,1638,10,3720,2.7168093506133193,0,18.0
3,817,4,2606,2.412768159738274,1,18.0
5,1404,2,1735,2.3237934650434346,1,19.0
6,1629,3,1520,2.044591830482644,1,19.0
4,1852,1,1564,3.6044873145631113,0,26.0
4,1244,6,2205,2.6973932124153484,0,20.0
3,1126,3,1370,3.3352608672911144,1,26.0
1,822,3,556,3.3672560609333475,0,30.0
2,1942,4,2399,4.313537887258084,1,28.0
5,1691,2,3855,1.8433414624748719,1,14.0
6,1875,2,2939,1.8836315570438096,1,15.0
5,1849,3,1250,2.0213631385417044,0,19.0
1,1909,2,2338,2.293336030780765,0,18.0
1,972,7,2590,3.816114802859124,1,25.0
3,1249,4,3825,3.3716583205456017,0,22.0
6,1703,5,2033,4.6170659724268965,1,30.0
1,1185,1,337,4.8648032835576345,0,40.0
2,1133,1,4749,2.7901291187431556,0,18.0
5,1202,9,399,4.347285122613663,1,37.0
7,1629,10,2552,3.565136898277211,0,24.0
4,1358,3,1425,2.3731927462028772,0,21.0
6,1132,10,1679,3.08220413381846,1,23.0
5,1968,3,4314,2.1330793865636326,1,15.0
5,1562,10,1096,2.2606711793629826,0,21.0
7,1114,6,1666,4.969418140829777,0,33.0
2,1071,7,4986,1.412953792821877,1,11.0
7,1410,10,990,4.801135805393152,0,35.0
6,1546,3,4438,4.004728267442634,0,24.0
1,988,4,604,1.4614276739565626,0,20.0
4,1534,4,2510,1.8323981290387965,1,15.0
6,1588,8,4580,2.7463241956066504,1,18.0
4,990,1,2150,1.6788534254807068,1,15.0
1,1314,1,2405,1.6942631248429723,0,15.0
7,1572,3,2979,4.835665876192152,0,30.0
1,1983,2,4470,4.51211642155198,0,27.0
5,1388,6,4316,3.208879803818115,0,20.0
2,1443,3,513,4.165463463930174,0,35.0
6,1300,1,1211,1.7304341594662427,0,18.0
5,1153,7,4135,2.940934697224213,1,19.0
7,940,4,766,2.454631001071891,1,24.0
4,1505,1,2790,3.16416324810236,1,22.0
3,1011,9,3591,4.832381467559747,0,29.0
7,1456,10,1431,4.13935512239323,1,29.0
3,1857,9,2392,1.1684852336673917,1,12.0
4,1247,9,1533,2.090761166970418,0,19.0
2,1807,9,3578,3.5397745537451164,1,23.0
3,1733,4,503,2.098092234722653,1,24.0
7,849,7,1012,2.620507132119503,1,24.0
3,1279,5,518,2.834982571344054,1,28.0
4,1216,4,223,4.131248735340085,1,38.0
7,898,3,4624,3.482241333331094,0,21.0
6,1065,1,4716,2.4429030366529316,1,16.0
2,1395,1,3170,2.4781171191503426,1,18.0
4,1062,8,2848,4.866820630384195,1,30.0
6,1775,2,1454,4.191197614364279,1,30.0
6,1674,10,3218,1.7660133977523018,0,14.0
7,1377,10,1941,2.7979998357227114,0,21.0
5,1280,1,191,4.6414154640310015,1,40.0
3,1765,3,1525,2.8673565786657322,0,23.0
6,1567,8,1387,2.3703608768654028,1,21.0
4,1452,2,4922,1.1133696586808006,0,9.0
1,832,5,3718,4.821664378803328,0,29.0
4,1025,7,414,3.2880121711872947,0,31.0
4,1819,4,1392,4.403004142711367,0,31.0
6,1965,7,1512,1.0823194439486294,0,14.0
3,1429,3,3356,2.406106276641604,1,17.0
3,1580,4,792,2.7986704742529938,0,26.0
1,1018,2,526,1.6982455497373823,1,22.0
5,1964,10,4289,1.3621298740062424,1,11.0
3,1468,1,4495,3.5876013348644467,0,22.0
4,1642,3,1604,2.429570843345643,1,20.0
1,888,3,2921,1.7756426302581856,0,14.0
2,1140,10,2585,4.471519295673723,1,28.0
7,1852,3,2928,2.3418734874562266,1,17.0
2,1523,7,440,3.698962501783415,0,33.0
5,874,9,921,1.0024994399745633,1,16.0
1,1491,4,398,4.078498063043257,1,35.0
4,1951,1,2609,3.925048110035743,1,26.0
2,884,7,2140,3.3255381818651695,0,23.0
6,1232,3,2156,4.184429777898908,1,28.0
4,1987,5,3208,1.0669089236965492,0,11.0
5,1023,10,2751,2.7111247286178277,0,19.0
5,1365,10,101,1.396827512591233,1,26.0
7,1697,5,1228,4.780079063136508,1,33.0
5,1368,7,2107,3.8351276275194066,0,26.0
5,1506,6,4855,2.032312183522188,1,14.0
1,976,7,1053,3.576433225314156,1,28.0
4,1004,9,4857,2.312461973317859,1,15.0
5,1349,3,1506,4.410233215577204,1,31.0
2,1042,6,3176,1.369774970456561,0,12.0
7,1834,4,4207,1.1948341822379502,0,10.0
5,1197,9,58,3.170026342358823,1,35.0
4,942,5,2381,2.662502417005127,0,20.0
7,1867,8,1110,4.994972606505806,0,35.0
6,1280,8,856,2.9036884690077316,1,26.0
5,1766,8,3900,3.7708808566319196,0,23.0
2,1566,2,4139,1.0950528466826333,1,10.0
5,1121,2,4164,4.253781100579728,1,26.0
7,1706,6,3767,3.04719702943334,1,20.0
5,1477,3,2989,2.0750813138061615,0,16.0
1,1939,5,4583,2.5086254140631152,1,17.0
1,1504,7,1517,4.895751407609779,1,33.0
2,1998,5,1534,2.205244321280203,0,19.0
2,1426,10,2056,4.0228073161322095,0,27.0
5,1633,10,4047,1.2950843549227873,0,11.0
5,1882,10,507,3.4698253823070924,1,31.0
5,998,10,3591,1.3325518269741545,1,12.0
3,1017,7,4876,3.336534932247247,1,21.0
6,1806,3,2197,1.1084711771642528,1,12.0
4,1066,1,534,1.0984230854082857,1,19.0
4,1162,8,1341,2.369815882380427,1,21.0
4,1028,3,4601,1.296027252158399,0,11.0
1,1007,9,4300,2.7832097752512186,1,18.0
6,850,9,2416,2.2833935492962225,0,18.0
6,1075,6,2880,1.8286761886824783,1,15.0
5,920,2,2341,3.6896156024594147,1,25.0
1,872,2,3454,2.3479928982194416,0,17.0
6,1650,5,777,3.3508338089422702,1,29.0
3,1435,7,1727,2.958820417781275,0,23.0
2,1558,8,4260,2.311753186443771,0,16.0
2,1955,8,2805,1.445635993869498,0,13.0
1,1530,3,3304,3.923295194635441,0,25.0
5,1724,4,3235,3.437264649580619,0,22.0
1,1169,10,2407,3.744867681440729,1,25.0
3,1920,3,4751,4.78743018146176,1,28.0
5,1801,5,553,1.378298347407977,0,20.0
2,1944,7,3330,4.573063655732961,0,28.0
5,1025,2,3674,1.1368902165589834,1,10.0
1,1339,9,3816,4.1029162274373725,0,25.0
2,1758,10,1786,3.6243995561091067,1,26.0
7,1610,10,1667,3.901173861076002,1,28.0
6,1266,6,3615,4.826867043578909,0,29.0
2,1787,2,3034,4.9930039140789955,1,30.0
2,1768,3,2059,2.3682087951788646,1,19.0
7,1914,5,3258,1.584999122513473,1,13.0
3,942,1,519,1.8349992168690719,0,23.0
3,1408,5,4597,1.5481798248959282,0,12.0
6,1548,1,2898,2.06674302816578,1,16.0
5,1023,8,2783,1.364180970606336,1,13.0
2,1447,7,3052,1.6633259564309024,0,14.0
1,1396,4,1670,2.191285010782491,0,19.0
2,1492,6,2170,1.2063441001451736,0,13.0
2,1242,3,542,2.033586256615374,0,24.0
1,809,7,808,3.60574775101447,1,30.0
6,867,1,2979,3.5455040914817353,0,23.0
4,1924,3,2808,2.4971193051441856,1,18.0
4,1044,2,2591,1.3467068016619534,1,13.0
3,1873,7,1908,2.324209399664365,1,19.0
5,1173,3,4233,4.936369256102616,0,29.0
2,1149,10,806,1.639852696800264,1,20.0
1,1371,7,4230,3.001563009989462,1,19.0
4,1810,10,500,2.7176173428953563,0,27.0
2,1202,1,2868,4.217031772054181,0,27.0
4,1138,9,249,4.568007144683555,1,39.0
1,1780,10,1236,4.765624970497015,0,33.0
5,1934,7,1291,2.710286856531099,0,23.0
4,1066,6,3849,1.5437727411816065,1,12.0
6,1988,3,4889,4.453102245901258,1,26.0
1,1753,8,668,4.670233062524401,0,36.0
7,1525,8,1390,2.3576731557325394,1,21.0
3,1415,1,3879,1.162368634996398,0,10.0
2,1701,6,377,2.309037781983506,0,27.0
5,1433,6,1720,2.0498921977986506,1,18.0
5,967,3,2340,4.211350348472024,1,28.0
4,1076,5,2321,1.6558150261713016,0,15.0
1,1124,8,588,1.3742854642176567,0,20.0
6,1324,3,1608,2.6130341580449077,0,21.0
3,1290,10,4421,4.889566497905275,1,29.0
4,1498,8,3022,4.714600371897732,1,29.0
6,1013,2,1676,3.5748892210093093,0,26.0
6,1238,8,3058,4.25968590684321,1,27.0
4,1667,7,3379,1.8899209114686477,0,15.0
2,985,10,3149,1.4814725592784703,1,13.0
4,1015,7,3393,2.3825063628562977,1,17.0
4,820,8,1269,3.1994443120365204,0,25.0
3,1221,9,2186,2.886005395617751,1,21.0
3,1120,8,347,2.2201468603110754,0,26.0
7,878,10,4842,1.0801078872266068,0,9.0
1,833,2,3716,3.954220259651129,1,25.0
4,1519,6,472,4.276017101762976,0,35.0
6,1701,10,4416,1.3763372153451807,1,11.0
3,849,2,3744,4.704386661338264,1,28.0
1,879,8,2487,1.8518951288096566,0,15.0
6,880,10,1730,2.6268962859627916,1,21.0
4,1619,4,4700,2.145183076787385,1,15.0
5,1064,3,2804,1.6170530222178296,0,14.0
5,1655,10,4290,1.4569334378947865,1,12.0
1,1493,4,821,2.547652427881049,0,24.0
2,1843,1,4688,2.5936395521009237,0,17.0
4,1739,8,2488,4.278990368467964,1,28.0
2,1996,5,1994,4.720215518955769,0,31.0
2,1320,7,3300,2.6767336927055543,1,19.0
2,823,5,3581,4.6268461678689565,0,28.0
7,1874,9,4612,4.963547698634642,1,29.0
4,1143,3,3296,2.888766541162612,1,20.0
5,939,5,2770,3.0160219054043327,1,21.0
6,1366,2,2809,2.614252255994668,1,19.0
1,1778,1,3300,4.675029106016609,0,29.0
5,911,8,3873,2.658889459978193,0,18.0
3,932,5,1310,2.507885311646943,0,22.0
6,1612,3,3466,2.7942031508398713,0,19.0
6,889,6,990,1.3638180669743512,1,17.0
6,1716,7,270,1.6465498805672447,0,24.0
2,1123,10,3159,2.4756365049138758,0,18.0
6,1882,8,4434,1.9853857074070107,0,14.0
6,1261,8,3121,3.6778621679740535,0,24.0
2,1684,10,2887,4.760229372462989,1,29.0
5,974,3,3646,3.7736775634711464,0,24.0
3,1194,3,2942,4.437330262429274,1,28.0
3,1592,8,1655,1.8237731974418656,0,17.0
2,1730,8,2032,1.8907313445857938,1,17.0
6,1526,7,4889,1.757326442234465,0,13.0
1,1377,1,1110,3.5576957698692535,0,28.0
6,1983,7,2474,2.658784652870665,1,20.0
2,1675,5,1754,1.2111021641054385,1,14.0
6,1882,7,1848,2.9203900006398333,0,22.0
6,840,5,2665,1.4466620316279588,1,13.0
2,1596,5,377,4.841032302371355,1,39.0
1,1558,10,2178,3.7465671249224806,0,26.0
3,977,9,873,2.745625320410868,0,25.0
2,1392,10,3002,3.835595023276044,0,25.0
